Statistical profiling result from isolate-0x1046a1000-5642-v8.log, (6527 ticks, 17 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.0%  LazyCompile: *get path /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/request.js:144:11
      2    0.0%    0.0%  LazyCompile: *get internal/streams/duplex.js:92:8
      2    0.0%    0.0%  LazyCompile: *get internal/console/constructor.js:212:14
      2    0.0%    0.0%  LazyCompile: *emitReadable_ internal/streams/readable.js:565:23
      2    0.0%    0.0%  LazyCompile: *addCatch events.js:155:18
      2    0.0%    0.0%  LazyCompile: *ReadableState internal/streams/readable.js:90:23
      2    0.0%    0.0%  LazyCompile: *Readable.removeListener internal/streams/readable.js:887:45
      2    0.0%    0.0%  LazyCompile: *OutgoingMessage _http_outgoing.js:85:25
      2    0.0%    0.0%  LazyCompile: *<anonymous> internal/console/constructor.js:337:10
      2    0.0%    0.0%  LazyCompile: *<anonymous> /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/server/index.js:20:24
      2    0.0%    0.0%  LazyCompile: *<anonymous> /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa-mount/index.js:48:25
      1    0.0%    0.0%  RegExp: ^(?:is|get)
      1    0.0%    0.0%  RegExp: ^((?:[0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])[.]){3}(?:[0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])$
      1    0.0%    0.0%  RegExp: ^((?:@[^/\\%]+\/)?[^./\\%][^/\\%]*)(\/.*)?$
      1    0.0%    0.0%  LazyCompile: *socketOnClose _http_server.js:547:23
      1    0.0%    0.0%  LazyCompile: *setHeader _http_outgoing.js:556:57
      1    0.0%    0.0%  LazyCompile: *set /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/response.js:461:6
      1    0.0%    0.0%  LazyCompile: *removeListener events.js:451:28
