Statistical profiling result from isolate-0x1046a1000-5642-v8.log, (6527 ticks, 17 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  t __ZN2v88internal12_GLOBAL__N_119InstantiateFunctionEPNS0_7IsolateENS0_6HandleINS0_13NativeContextEEENS4_INS0_20FunctionTemplateInfoEEENS0_11MaybeHandleINS0_4NameEEE
      1    0.0%    0.0%  t __ZN2v88internal12_GLOBAL__N_117InstantiateObjectEPNS0_7IsolateENS0_6HandleINS0_18ObjectTemplateInfoEEENS4_INS0_10JSReceiverEEEb
      1    0.0%    0.0%  t __ZN2v88internal12_GLOBAL__N_113GetFrameIndexEPNS0_7IsolateENS0_6HandleINS0_8JSObjectEEE
      1    0.0%    0.0%  T _mach_ports_register
      1    0.0%    0.0%  T __ZThn88_N4node15LibuvStreamWrap7IsAliveEv
      1    0.0%    0.0%  T __ZThn88_N4node15LibuvStreamWrap12GetAsyncWrapEv
      1    0.0%    0.0%  T __ZThn88_N4node15LibuvStreamWrap10DoShutdownEPNS_12ShutdownWrapE
      1    0.0%    0.0%  T __ZNK4node14StreamResource5ErrorEv
      1    0.0%    0.0%  T __ZNK2v88Function29NewInstanceWithSideEffectTypeENS_5LocalINS_7ContextEEEiPNS1_INS_5ValueEEENS_14SideEffectTypeE
      1    0.0%    0.0%  T __ZNK2v86String9WriteUtf8EPNS_7IsolateEPciPii
      1    0.0%    0.0%  T __ZNK2v86String12WriteOneByteEPNS_7IsolateEPhiii
      1    0.0%    0.0%  T __ZNK2v86String10Utf8LengthEPNS_7IsolateE
      1    0.0%    0.0%  T __ZNK2v85Array6LengthEv
      1    0.0%    0.0%  T __ZN4node9inspector5Agent8IsActiveEv
      1    0.0%    0.0%  T __ZN4node9Utf8ValueC1EPN2v87IsolateENS1_5LocalINS1_5ValueEEE
      1    0.0%    0.0%  T __ZN4node9AsyncWrap21EmitTraceEventDestroyEv
      1    0.0%    0.0%  T __ZN4node9AsyncWrap13EmitAsyncInitEPNS_11EnvironmentEN2v85LocalINS3_6ObjectEEENS4_INS3_6StringEEEdd
      1    0.0%    0.0%  T __ZN4node7TCPWrap11InstantiateEPNS_11EnvironmentEPNS_9AsyncWrapENS0_10SocketTypeE
      1    0.0%    0.0%  T __ZN4node2fs6AccessERKN2v820FunctionCallbackInfoINS1_5ValueEEE
      1    0.0%    0.0%  T __ZN4node24NodeArrayBufferAllocator8AllocateEm
      1    0.0%    0.0%  T __ZN4node24NodeArrayBufferAllocator4FreeEPvm
      1    0.0%    0.0%  T __ZN4node21InternalCallbackScopeC1EPNS_11EnvironmentEN2v85LocalINS3_6ObjectEEERKNS_13async_contextEi
      1    0.0%    0.0%  T __ZN4node21DTRACE_NET_STREAM_ENDERKN2v820FunctionCallbackInfoINS0_5ValueEEE
      1    0.0%    0.0%  T __ZN4node14options_parser10GetOptionsERKN2v820FunctionCallbackInfoINS1_5ValueEEE
      1    0.0%    0.0%  T __ZN4node14StreamListenerD2Ev
      1    0.0%    0.0%  T __ZN4node14ConnectionWrapINS_7TCPWrapE8uv_tcp_sEC2EPNS_11EnvironmentEN2v85LocalINS6_6ObjectEEENS_9AsyncWrap12ProviderTypeE
      1    0.0%    0.0%  T __ZN4node10StreamBase15GetBytesWrittenERKN2v820FunctionCallbackInfoINS1_5ValueEEE
      1    0.0%    0.0%  T __ZN4node10StreamBase11WriteStringILNS_8encodingE1EEEiRKN2v820FunctionCallbackInfoINS3_5ValueEEE
      1    0.0%    0.0%  T __ZN4node10HandleWrap7OnCloseEP11uv_handle_s
      1    0.0%    0.0%  T __ZN2v88internal8Compiler16CompileOptimizedENS0_6HandleINS0_10JSFunctionEEENS0_15ConcurrencyModeE
      1    0.0%    0.0%  T __ZN2v88internal8Builtins7builtinEi
      1    0.0%    0.0%  T __ZN2v88internal8Builtins17InvokeApiFunctionEPNS0_7IsolateEbNS0_6HandleINS0_10HeapObjectEEENS4_INS0_6ObjectEEEiPS8_S6_
      1    0.0%    0.0%  T __ZN2v88internal8Builtins14builtin_handleEi
      1    0.0%    0.0%  T __ZN2v88internal5ScopeC2EPNS0_4ZoneEPS1_NS0_9ScopeTypeE
      1    0.0%    0.0%  T __ZN2v88internal5Scope13AddUnresolvedEPNS0_13VariableProxyE
      1    0.0%    0.0%  T __ZN2v88internal40Builtin_CallSitePrototypeGetColumnNumberEiPmPNS0_7IsolateE
      1    0.0%    0.0%  T __ZN2v88internal35Builtin_CallSitePrototypeIsToplevelEiPmPNS0_7IsolateE
      1    0.0%    0.0%  T __ZN2v88internal32Builtin_DatePrototypeToUTCStringEiPmPNS0_7IsolateE
      1    0.0%    0.0%  T __ZN2v88internal22HandleScopeImplementer6DetachEPm
      1    0.0%    0.0%  T __ZN2v88internal18Builtin_ArrayShiftEiPmPNS0_7IsolateE
      1    0.0%    0.0%  T __ZN2v88TryCatchD2Ev
      1    0.0%    0.0%  T __ZN2v88TryCatchC2EPNS_7IsolateE
      1    0.0%    0.0%  T __ZN2v87Isolate31SuppressMicrotaskExecutionScopeC1EPS0_PNS_14MicrotaskQueueE
      1    0.0%    0.0%  T __ZN2v87Isolate16ClearKeptObjectsEv
      1    0.0%    0.0%  T __ZN2v87Integer3NewEPNS_7IsolateEi
      1    0.0%    0.0%  T __ZN2v87Integer15NewFromUnsignedEPNS_7IsolateEj
      1    0.0%    0.0%  T __ZN2v86Object3SetENS_5LocalINS_7ContextEEENS1_INS_5ValueEEES5_
      1    0.0%    0.0%  T __ZN2v820EscapableHandleScope6EscapeEPm
      1    0.0%    0.0%  T __ZN2v816FunctionTemplate11GetFunctionENS_5LocalINS_7ContextEEE
      1    0.0%    0.0%  T __ZN2v815MicrotasksScope17PerformCheckpointEPNS_7IsolateE

 [Summary]:
   ticks  total  nonlib   name
    416    6.4%    6.6%  JavaScript
   5891   90.3%   93.2%  C++
    156    2.4%    2.5%  GC
    203    3.1%          Shared libraries
     17    0.3%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name
   1909   42.1%   29.2%  t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
   1373   30.3%   21.0%  T __ZN2v88internal21Builtin_HandleApiCallEiPmPNS0_7IsolateE
    946   20.9%   14.5%  T __kernelrpc_mach_port_set_attributes
    110    2.4%    1.7%  T __ZN2v88internal24Builtin_ErrorConstructorEiPmPNS0_7IsolateE
     37    0.8%    0.6%  T __kernelrpc_vm_remap
     23    0.5%    0.4%  T __ZN2v88internal30Builtin_ErrorCaptureStackTraceEiPmPNS0_7IsolateE
     14    0.3%    0.2%  T __ZN2v88internal38Builtin_CallSitePrototypeGetMethodNameEiPmPNS0_7IsolateE
      8    0.2%    0.1%  T __ZN2v88internal17Builtin_JsonParseEiPmPNS0_7IsolateE
      6    0.1%    0.1%  T __ZN4node27DTRACE_HTTP_SERVER_RESPONSEERKN2v820FunctionCallbackInfoINS0_5ValueEEE
      6    0.1%    0.1%  T __ZN2v88internal38Builtin_CallSitePrototypeGetLineNumberEiPmPNS0_7IsolateE
      6    0.1%    0.1%  T __ZN2v88internal36Builtin_CallSitePrototypeGetFileNameEiPmPNS0_7IsolateE
      5    0.1%    0.1%  t __ZN4node10StreamBase5WriteEP8uv_buf_tmP11uv_stream_sN2v85LocalINS5_6ObjectEEE
      5    0.1%    0.1%  T __ZN2v88internal28Builtin_ObjectDefinePropertyEiPmPNS0_7IsolateE
      4    0.1%    0.1%  T __ZThn88_N4node15LibuvStreamWrap10DoTryWriteEPP8uv_buf_tPm
      4    0.1%    0.1%  T __ZN4node10StreamBase6WritevERKN2v820FunctionCallbackInfoINS1_5ValueEEE
      3    0.1%    0.0%  T __ZN4node9AsyncWrap10AsyncResetEN2v85LocalINS1_6ObjectEEEdb
      3    0.1%    0.0%  T __ZN4node10StreamBase8JSMethodIXadL_ZNS0_8ShutdownERKN2v820FunctionCallbackInfoINS2_5ValueEEEEEEEvS7_
      3    0.1%    0.0%  T __ZN2v88internal40Builtin_CallSitePrototypeGetColumnNumberEiPmPNS0_7IsolateE
      3    0.1%    0.0%  T __ZN2v88internal33Builtin_CallSitePrototypeIsNativeEiPmPNS0_7IsolateE
      3    0.1%    0.0%  T __ZN2v88internal18Builtin_ArrayShiftEiPmPNS0_7IsolateE
      2    0.0%    0.0%  t __ZN4node9inspector12_GLOBAL__N_120InspectorConsoleCallERKN2v820FunctionCallbackInfoINS2_5ValueEEE
      2    0.0%    0.0%  t __ZN4node12_GLOBAL__N_16Parser10InitializeERKN2v820FunctionCallbackInfoINS2_5ValueEEE
      2    0.0%    0.0%  t __ZN4node10task_queueL13RunMicrotasksERKN2v820FunctionCallbackInfoINS1_5ValueEEE
      2    0.0%    0.0%  T __ZNK2v85Value8ToStringENS_5LocalINS_7ContextEEE
      2    0.0%    0.0%  T __ZN4node13ParseEncodingEPN2v87IsolateENS0_5LocalINS0_5ValueEEENS_8encodingE
      2    0.0%    0.0%  T __ZN4node13ParseEncodingEPKcNS_8encodingE
      2    0.0%    0.0%  T __ZN4node10StreamBase8JSMethodIXadL_ZNS0_6WritevERKN2v820FunctionCallbackInfoINS2_5ValueEEEEEEEvS7_
      2    0.0%    0.0%  T __ZN2v88internal9Accessors16ErrorStackGetterENS_5LocalINS_4NameEEERKNS_20PropertyCallbackInfoINS_5ValueEEE
      2    0.0%    0.0%  T __ZN2v88internal40Builtin_CallSitePrototypeGetFunctionNameEiPmPNS0_7IsolateE
      2    0.0%    0.0%  T __ZN2v88internal36Builtin_CallSitePrototypeGetTypeNameEiPmPNS0_7IsolateE
      2    0.0%    0.0%  T __ZN2v88internal32Builtin_DatePrototypeToUTCStringEiPmPNS0_7IsolateE
      2    0.0%    0.0%  T __ZN2v88internal27Builtin_FunctionConstructorEiPmPNS0_7IsolateE
      2    0.0%    0.0%  T __ZN2v87Isolate17GetCurrentContextEv
      2    0.0%    0.0%  T __ZN2v86Number3NewEPNS_7IsolateEd
      2    0.0%    0.0%  T __ZN2v811HandleScopeD1Ev
      1    0.0%    0.0%  t __ZN2v88internal6String7FlattenEPNS0_7IsolateENS0_6HandleIS1_EENS0_14AllocationTypeE
      1    0.0%    0.0%  t __ZN2v88internal14LookupIteratorC2EPNS0_7IsolateENS0_6HandleINS0_6ObjectEEENS4_INS0_4NameEEEmNS4_INS0_10JSReceiverEEENS1_13ConfigurationE
      1    0.0%    0.0%  t __ZN2v88internal11StringShape33DispatchToSpecificTypeWithoutCastIZNS1_22DispatchToSpecificTypeIZNS0_6String3GetEiE19StringGetDispatchertJRiEEET0_S4_DpOT1_E17CastingDispatchertJRS4_S6_EEES7_SA_
      1    0.0%    0.0%  t __ZN2v812_GLOBAL__N_114CallDepthScopeILb1EEC1EPNS_8internal7IsolateENS_5LocalINS_7ContextEEE
      1    0.0%    0.0%  t __ZN2v812_GLOBAL__N_114CallDepthScopeILb0EEC1EPNS_8internal7IsolateENS_5LocalINS_7ContextEEE
      1    0.0%    0.0%  T _mach_ports_register
      1    0.0%    0.0%  T __ZThn88_N4node15LibuvStreamWrap7IsAliveEv
      1    0.0%    0.0%  T __ZThn88_N4node15LibuvStreamWrap10DoShutdownEPNS_12ShutdownWrapE
      1    0.0%    0.0%  T __ZNK2v86String9WriteUtf8EPNS_7IsolateEPciPii
      1    0.0%    0.0%  T __ZNK2v86String12WriteOneByteEPNS_7IsolateEPhiii
      1    0.0%    0.0%  T __ZNK2v86String10Utf8LengthEPNS_7IsolateE
      1    0.0%    0.0%  T __ZN4node9inspector5Agent8IsActiveEv
      1    0.0%    0.0%  T __ZN4node9Utf8ValueC1EPN2v87IsolateENS1_5LocalINS1_5ValueEEE
      1    0.0%    0.0%  T __ZN4node9AsyncWrap13EmitAsyncInitEPNS_11EnvironmentEN2v85LocalINS3_6ObjectEEENS4_INS3_6StringEEEdd
      1    0.0%    0.0%  T __ZN4node28DTRACE_NET_SERVER_CONNECTIONERKN2v820FunctionCallbackInfoINS0_5ValueEEE
      1    0.0%    0.0%  T __ZN4node24NodeArrayBufferAllocator8AllocateEm
      1    0.0%    0.0%  T __ZN4node24NodeArrayBufferAllocator4FreeEPvm
      1    0.0%    0.0%  T __ZN4node10StreamBase8JSMethodIXadL_ZNS0_11WriteStringILNS_8encodingE1EEEiRKN2v820FunctionCallbackInfoINS4_5ValueEEEEEEEvS9_
      1    0.0%    0.0%  T __ZN4node10StreamBase15GetBytesWrittenERKN2v820FunctionCallbackInfoINS1_5ValueEEE
      1    0.0%    0.0%  T __ZN4node10StreamBase11WriteStringILNS_8encodingE1EEEiRKN2v820FunctionCallbackInfoINS3_5ValueEEE
      1    0.0%    0.0%  T __ZN2v88internal38Builtin_CallSitePrototypeIsConstructorEiPmPNS0_7IsolateE
      1    0.0%    0.0%  T __ZN2v88internal35Builtin_CallSitePrototypeIsToplevelEiPmPNS0_7IsolateE
      1    0.0%    0.0%  T __ZN2v88internal19Builtin_ArrayConcatEiPmPNS0_7IsolateE
      1    0.0%    0.0%  T __ZN2v88TryCatchD2Ev
      1    0.0%    0.0%  T __ZN2v87Isolate31SuppressMicrotaskExecutionScopeC1EPS0_PNS_14MicrotaskQueueE
      1    0.0%    0.0%  T __ZN2v87Context29GetNumberOfEmbedderDataFieldsEv
      1    0.0%    0.0%  T __ZN2v86Object3SetENS_5LocalINS_7ContextEEENS1_INS_5ValueEEES5_
      1    0.0%    0.0%  T __ZN2v86Object3GetENS_5LocalINS_7ContextEEEj
      1    0.0%    0.0%  T __ZN2v815MicrotasksScope17PerformCheckpointEPNS_7IsolateE

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
   2105   32.3%  t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
    573   27.2%    t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
     89   15.5%      LazyCompile: *Socket net.js:268:16
     54   60.7%        LazyCompile: *onconnection net.js:1531:22
     20   22.5%        LazyCompile: *data /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/server/get-data.js:5:34
     19   95.0%          LazyCompile: *<anonymous> /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/server/index.js:20:24
     19  100.0%            LazyCompile: *dispatch /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa-compose/index.js:35:23
      1    5.0%          t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
      1  100.0%            LazyCompile: ~module.exports /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/server/get-data.js:3:33
     14   15.7%        LazyCompile: ~onconnection net.js:1531:22
      1    1.1%        LazyCompile: ~initSocket /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/easy_sock/lib/easy_sock.js:174:20
      1  100.0%          LazyCompile: *module.exports /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/server/get-data.js:3:33
      1  100.0%            LazyCompile: ~<anonymous> /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/server/index.js:20:24
     57    9.9%      t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
     10   17.5%        LazyCompile: *dispatch /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa-compose/index.js:35:23
     10  100.0%          LazyCompile: *handleRequest /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/application.js:162:16
     10  100.0%            LazyCompile: *handleRequest /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/application.js:148:27
      7   12.3%        LazyCompile: ~structuredStack structured-stack:3:38
      5   71.4%          LazyCompile: *isInsideNodeModules internal/util.js:353:29
      5  100.0%            LazyCompile: ~showFlaggedDeprecation buffer.js:180:32
      2   28.6%          LazyCompile: ~isInsideNodeModules internal/util.js:353:29
      2  100.0%            LazyCompile: ~showFlaggedDeprecation buffer.js:180:32
      5    8.8%        LazyCompile: *onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/application.js:199:10
      5  100.0%          LazyCompile: *onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/context.js:107:10
      4   80.0%            LazyCompile: *onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/application.js:165:21
      1   20.0%            LazyCompile: ~onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/application.js:165:21
      3    5.3%        t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
      3  100.0%          LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
      2    3.5%        LazyCompile: ~onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/application.js:199:10
      1   50.0%          LazyCompile: *onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/context.js:107:10
      1  100.0%            LazyCompile: ~onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/application.js:165:21
      1   50.0%          LazyCompile: *emit events.js:264:44
      1  100.0%            LazyCompile: ~onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/context.js:107:10
      2    3.5%        LazyCompile: ~cloneCallSite /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/source-map-support/source-map-support.js:359:23
      2  100.0%          LazyCompile: ~wrapCallSite /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/source-map-support/source-map-support.js:368:22
      2  100.0%            LazyCompile: ~prepareStackTrace /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/source-map-support/source-map-support.js:433:27
      2    3.5%        LazyCompile: ~Module._findPath internal/modules/cjs/loader.js:444:28
      2  100.0%          LazyCompile: ~Module._resolveFilename internal/modules/cjs/loader.js:796:35
      2  100.0%            LazyCompile: ~Module._load internal/modules/cjs/loader.js:704:24
      2    3.5%        LazyCompile: *prepareStackTrace /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/source-map-support/source-map-support.js:433:27
      2  100.0%          LazyCompile: ~maybeOverridePrepareStackTrace internal/errors.js:84:40
      2  100.0%            LazyCompile: ~prepareStackTrace internal/errors.js:59:27
      2    3.5%        LazyCompile: *onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/context.js:107:10
      2  100.0%          LazyCompile: ~onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/application.js:165:21
      2  100.0%            t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
      2    3.5%        LazyCompile: *cloneCallSite /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/source-map-support/source-map-support.js:359:23
      2  100.0%          LazyCompile: ~wrapCallSite /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/source-map-support/source-map-support.js:368:22
      2  100.0%            LazyCompile: ~prepareStackTrace /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/source-map-support/source-map-support.js:433:27
      2    3.5%        Eval: ~<anonymous> /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/@babel/generator/lib/printer.js:1:1
      2  100.0%          LazyCompile: ~Module._compile internal/modules/cjs/loader.js:1017:37
      2  100.0%            LazyCompile: ~_compile /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/pirates/lib/index.js:123:43
      1    1.8%        LazyCompile: ~toIdentifier /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/resolve-path/node_modules/http-errors/index.js:256:23
      1  100.0%          LazyCompile: ~forEachCode /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/resolve-path/node_modules/http-errors/index.js:226:38
      1  100.0%            t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
      1    1.8%        LazyCompile: ~replaceCarets /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/@babel/core/node_modules/semver/semver.js:1097:24
      1  100.0%          LazyCompile: ~parseComparator /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/@babel/core/node_modules/semver/semver.js:1034:26
      1  100.0%            LazyCompile: ~<anonymous> /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/@babel/core/node_modules/semver/semver.js:965:43
      1    1.8%        LazyCompile: ~readPackage internal/modules/cjs/loader.js:240:21
      1  100.0%          LazyCompile: ~readPackageScope internal/modules/cjs/loader.js:271:26
      1  100.0%            LazyCompile: ~trySelf internal/modules/cjs/loader.js:391:17
      1    1.8%        LazyCompile: ~read internal/modules/package_json_reader.js:16:14
      1  100.0%          LazyCompile: ~readPackage internal/modules/cjs/loader.js:240:21
      1  100.0%            LazyCompile: ~resolveExports internal/modules/cjs/loader.js:422:24
      1    1.8%        LazyCompile: ~onParserExecuteCommon _http_server.js:658:31
      1  100.0%          LazyCompile: ~onParserExecute _http_server.js:601:25
      1    1.8%        LazyCompile: ~newGenerator /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/gensync/index.js:144:22
      1  100.0%          LazyCompile: ~gensync /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/gensync/index.js:15:19
      1  100.0%            Eval: ~<anonymous> /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/@babel/core/lib/gensync-utils/fs.js:1:1
      1    1.8%        LazyCompile: ~matchPattern /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/@babel/core/lib/config/config-chain.js:546:22
      1  100.0%          LazyCompile: ~<anonymous> /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/@babel/core/lib/config/config-chain.js:543:24
      1  100.0%            t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
      1    1.8%        LazyCompile: ~SafeMap internal/per_context/primordials.js:94:3
      1  100.0%          LazyCompile: ~ModuleMap internal/modules/esm/module_map.js:14:1
      1  100.0%            LazyCompile: ~Loader internal/modules/esm/loader.js:42:14
      1    1.8%        LazyCompile: ~Range.parseRange /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/semver/semver.js:891:39
      1  100.0%          LazyCompile: ~<anonymous> /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/semver/semver.js:866:53
      1  100.0%            t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
      1    1.8%        LazyCompile: ~<anonymous> internal/per_context/primordials.js:23:10
      1  100.0%          LazyCompile: ~resolveExports internal/modules/cjs/loader.js:422:24
      1  100.0%            LazyCompile: ~Module._findPath internal/modules/cjs/loader.js:444:28
      1    1.8%        LazyCompile: *wrapCallSite /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/source-map-support/source-map-support.js:368:22
      1  100.0%          LazyCompile: ~prepareStackTrace /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/source-map-support/source-map-support.js:433:27
      1  100.0%            LazyCompile: ~maybeOverridePrepareStackTrace internal/errors.js:84:40
      1    1.8%        LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
      1    1.8%        LazyCompile: *format url.js:576:39
      1  100.0%          LazyCompile: *set path /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/request.js:155:11
      1  100.0%            t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
      1    1.8%        LazyCompile: *<anonymous> internal/per_context/primordials.js:23:10
      1  100.0%          LazyCompile: ~readPackageScope internal/modules/cjs/loader.js:271:26
      1  100.0%            LazyCompile: ~trySelf internal/modules/cjs/loader.js:391:17
      1    1.8%        Eval: ~<anonymous> _tls_wrap.js:1:1
      1  100.0%          LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:270:27
      1  100.0%            LazyCompile: ~nativeModuleRequire internal/bootstrap/loaders.js:303:29
      1    1.8%        Eval: ~<anonymous> /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/@babel/types/lib/index.js:1:1
      1  100.0%          LazyCompile: ~Module._compile internal/modules/cjs/loader.js:1017:37
      1  100.0%            LazyCompile: ~Module._extensions..js internal/modules/cjs/loader.js:1072:37
      1    1.8%        Eval: ~<anonymous> /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/@babel/traverse/lib/path/index.js:1:1
      1  100.0%          LazyCompile: ~Module._compile internal/modules/cjs/loader.js:1017:37
      1  100.0%            LazyCompile: ~_compile /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/pirates/lib/index.js:123:43
      1    1.8%        Eval: ~<anonymous> /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/@babel/generator/lib/generators/index.js:1:1
      1  100.0%          LazyCompile: ~Module._compile internal/modules/cjs/loader.js:1017:37
      1  100.0%            LazyCompile: ~_compile /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/pirates/lib/index.js:123:43
     42    7.3%      LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
     30    5.2%      LazyCompile: *onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/context.js:107:10
     21   70.0%        LazyCompile: *onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/application.js:165:21
     21  100.0%          t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
     21  100.0%            LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
      9   30.0%        LazyCompile: ~onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/application.js:165:21
      9  100.0%          t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
      9  100.0%            LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
     27    4.7%      LazyCompile: *ReadableState internal/streams/readable.js:90:23
     24   88.9%        LazyCompile: *Socket net.js:268:16
     17   70.8%          LazyCompile: *onconnection net.js:1531:22
      5   20.8%          LazyCompile: ~onconnection net.js:1531:22
      2    8.3%          LazyCompile: *data /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/server/get-data.js:5:34
      2  100.0%            LazyCompile: *<anonymous> /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/server/index.js:20:24
      2    7.4%        LazyCompile: *parserOnHeadersComplete _http_common.js:75:33
      1    3.7%        LazyCompile: ~Readable internal/streams/readable.js:187:18
      1  100.0%          LazyCompile: ~Duplex internal/streams/duplex.js:52:16
